route_number,n_days,mean_kg,std_kg,p10,p50,p90,cv,dow_0,dow_1,dow_2,dow_3,dow_4,dow_5,dow_6
OM3,132,14455.151515151516,8006.90164936909,5326.0,14280.0,22134.0,0.5539133672155884,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM30,21,21465.714285714286,9645.030104374258,10720.0,18720.0,33380.0,0.44932257906708245,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM31,22,23357.272727272728,12938.866212866522,12746.0,19280.0,38240.0,0.5539544947710728,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM32,22,23299.090909090908,10892.512897832035,11256.0,20490.0,37314.00000000001,0.4675080645992914,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM33,24,21310.0,8392.325686886956,13946.0,18400.0,31698.0,0.3938210083006549,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM34,24,30685.833333333332,22319.902196424853,11610.0,24000.0,64961.99999999998,0.7273682925266769,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM35,24,25711.666666666668,13296.294242371072,16588.0,20400.0,39333.99999999999,0.5171307801531498,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM37,21,20760.95238095238,13832.615770259039,9400.0,17860.0,31720.0,0.6662804054668559,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM4,140,15383.285714285714,10216.307703042607,6468.0,12535.0,29174.0,0.6641173994158618,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM5,146,14426.027397260274,9433.92685119653,6490.0,12090.0,22390.0,0.6539518185712151,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM6,118,12095.762711864407,5635.369288710029,6846.0,10680.0,17612.0,0.4658961508216797,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM7,84,15679.047619047618,5640.665520643588,9300.0,15050.0,22744.000000000004,0.3597581726705806,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OM8,83,15854.939759036144,5552.903739067621,10000.0,14800.0,20708.0,0.35023177782197984,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT1,145,13304.965517241379,5782.719722988137,6840.0,11880.0,20544.0,0.43462868922843423,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT10,99,12949.89898989899,4859.131839597564,7708.0,12080.0,19108.0,0.3752254626377951,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT11,108,16671.666666666668,9329.88650750858,7900.0,15330.0,26624.0,0.5596253028596568,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT12,100,12115.4,5514.051732170321,6978.0,10740.0,20604.000000000004,0.4551275015410404,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT13,95,11674.736842105263,6270.864211727607,6604.0,10480.0,16948.000000000004,0.5371310973889845,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT14,92,13880.0,5113.369676695539,8534.0,13070.0,20672.000000000007,0.3683983916927622,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT15,89,10923.033707865168,4483.151895631623,6624.0,9860.0,16840.0,0.4104310226932207,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT16,93,11775.053763440861,6815.606551153135,6020.0,9820.0,19776.0,0.5788174464488819,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT17,42,14050.0,6552.031522602036,7256.0,13540.0,20306.0,0.4663367631745221,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT18,24,8000.833333333333,6856.457392197118,3208.0,5750.0,12306.0,0.8569679065343757,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT2,140,13244.0,5368.507797444558,7908.0,11840.0,20768.000000000004,0.40535395631565674,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT20,81,16671.85185185185,7158.802817355551,10000.0,14520.0,26640.0,0.4293945796165635,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT21,91,15071.208791208792,6427.529823633621,9600.0,12900.0,22420.0,0.42647739227014575,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT22,88,15256.59090909091,6979.400377097194,8482.0,13760.0,24929.999999999993,0.45746788510521014,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT23,88,15887.727272727272,8332.637634492057,9322.0,14110.0,23299.999999999996,0.524470082564659,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT24,90,15391.333333333334,6457.8899047964505,9418.0,15120.0,21462.00000000002,0.4195796273744824,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT25,90,12160.0,6270.464384358277,6640.0,11160.0,19350.000000000007,0.5156631895031478,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT26,34,10435.29411764706,4239.714280892135,5426.0,9640.0,15601.999999999998,0.40628603593667584,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT3,136,14553.161764705883,6630.076554186919,7220.0,13690.0,22080.0,0.455576366248198,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT31,21,11560.952380952382,4958.174971460673,5820.0,10920.0,18100.0,0.4288725364555323,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT4,135,13178.222222222223,5532.9843862878815,7420.0,12500.0,21000.000000000004,0.4198581791220442,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT5,148,13642.567567567568,8083.669026337999,7350.0,12300.0,19360.0,0.5925328195225713,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT6,122,13540.491803278688,6567.667592636696,6030.0,12760.0,20848.0,0.4850390730303019,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT7,93,19300.43010752688,11261.930091161732,9596.0,15860.0,33995.99999999999,0.5835066901835387,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OT8,90,17798.444444444445,11264.376074136357,8806.0,14590.0,31278.00000000001,0.6328854248637659,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OW1,144,15385.972222222223,7351.096804082995,8518.0,13700.0,25602.000000000004,0.4777791547982701,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OW10,101,15915.544554455446,7419.883621088344,9120.0,13780.0,27160.0,0.4662035656839149,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OW11,105,13029.333333333334,6936.552605673949,7844.0,11160.0,19508.0,0.5323797026458721,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OW12,100,16132.6,8328.283878665301,9510.0,13440.0,24026.000000000007,0.5162394083201283,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OW13,99,13317.575757575758,7152.211744529801,6896.0,11000.0,22348.0,0.5370505769761614,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
OW14,87,15939.540229885057,6212.944459426697,9916.0,14060.0,22148.0,0.38978191151197966,1.2056,0.9085,1.1037,1.0266,0.8914,0.7688,1.0955
