borough,communitydistrict,n,mean_tons,std_tons,p10,p50,p90,cv,seas_01,seas_02,seas_03,seas_04,seas_05,seas_06,seas_07,seas_08,seas_09,seas_10,seas_11,seas_12
Manhattan,7,137,4798.99094890511,422.0001155071696,4310.9039999999995,4745.96,5354.448,0.08793517637357681,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Manhattan,8,137,5533.26204379562,453.9302642220213,4936.128,5508.2,6162.78,0.08203664685120196,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Manhattan,9,137,2350.657226277372,175.83140720140523,2121.832,2335.2,2586.978,0.0748009557649804,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Manhattan,10,137,6232.932700729927,400.1928114552362,5751.252,6215.38,6715.578,0.0642061820125814,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Manhattan,11,137,2429.9267153284673,142.39252380464063,2236.26,2441.1,2582.384,0.05859951368343741,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Manhattan,12,137,4971.140875912409,334.0275268453242,4536.78,4971.52,5392.326,0.06719333351904182,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Queens,1,137,4220.057153284672,301.3101023226561,3835.478,4248.12,4611.738,0.07139953118600115,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Queens,2,137,3969.6957664233573,288.4475589730883,3607.4519999999998,3972.82,4295.152,0.07266238420909915,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Queens,3,137,4945.7088321167885,451.176475095398,4343.37,4927.97,5478.064,0.09122584656935662,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Queens,4,137,4154.776204379562,299.8967970896073,3801.022,4161.54,4516.268,0.07218121562684536,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Queens,5,137,4800.052627737226,468.71691155729496,4214.772,4811.85,5322.69,0.09764828594770031,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Queens,6,137,2775.4228467153284,214.57930763044263,2496.256,2786.78,3036.372,0.07731409571856557,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Queens,7,137,8268.002846715328,1261.0041250305424,6466.0560000000005,8688.3,9615.988,0.1525161696734911,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Queens,8,137,3793.935912408759,349.93750620552976,3307.732,3830.68,4225.948,0.09223600880051647,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Queens,9,137,4050.934379562044,411.087754176185,3488.04,4049.74,4555.628,0.10147973668747226,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Queens,10,137,3742.2994160583944,483.1413308384642,3066.6620000000003,3719.15,4330.026,0.1291027994086418,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Queens,11,137,2974.3679562043794,394.1461410164322,2522.726,2970.89,3520.42,0.13251425069795533,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Queens,12,137,6858.39094890511,847.2126726133132,5670.26,6882.78,7793.394,0.12352936409210738,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Queens,13,137,5358.360364963503,776.3901295801128,4192.082,5379.1,6321.756,0.14489322790916861,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Queens,14,137,3648.1496350364964,376.4529528089032,3131.7819999999997,3618.98,4094.79,0.10319010744336893,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Staten Island,1,137,5672.504525547445,649.1266612420503,4880.72,5651.51,6556.1140000000005,0.11443387278380426,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Staten Island,2,137,5201.752408759124,570.3784250461497,4509.878,5245.73,5939.592,0.10965120602159019,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
Staten Island,3,137,5931.7626277372265,744.4430378993873,4937.372,5927.09,6961.89,0.12550115111119475,0.9383,0.8464,0.9841,0.9841,1.0523,1.0708,1.0352,1.023,1.021,1.0277,1.0063,1.0109
