instance,method,seed,n_vehicles,E_cost,E_fuel,E_emission,E_recourse,CVaR_cost,worst_cost,P_late,E_late_min,P_overload,E_overload_m3,missed_nodes,infeas_speed_arcs,tau_mean,tau_std,secs
solomon_c101,Q-HGLS,2,24,556.1293705915581,523.0472331272313,1234.3914701802655,33.082137464327104,618.7892213601517,671.6115951166087,1.0,310.7154979922394,0.05,2.7606812823575693,0.0,24.05,,,3.9
solomon_c101,RO-Eco,2,25,687.0632233921237,611.4894869976479,1443.1151893144493,75.57373639447577,706.6607602914931,709.7398066207061,1.0,1164.9747278895152,0.0,0.0,0.0,34.65,,,4.2
solomon_c101,S-HGLS,2,25,565.2312649191501,530.9049587933584,1252.9357027523258,34.32630612579166,641.1978481559804,675.2677148917269,1.0,304.11391976212,0.1,3.610305068842834,0.0,23.8,,,4.1
solomon_c101,LA-SHGLS,2,25,509.2770853363102,486.5682250961469,1148.3010112269062,22.7088602401634,549.392737066298,577.1751424457866,1.0,158.95017337610858,0.05,1.543175785678983,0.0,23.35,,,4.1
solomon_c101,D-HGLS,3,23,527.2814241734814,492.9991647581445,1163.4780288292209,34.282259415336924,546.4370658308542,551.8011771129534,1.0,403.48080198601366,0.05,0.3291096580181204,0.0,26.9,,,4.0
solomon_c101,PTO-HGLS,3,23,527.2814241734814,492.9991647581445,1163.4780288292209,34.282259415336924,546.4370658308542,551.8011771129534,1.0,403.48080198601366,0.05,0.3291096580181204,0.0,26.9,,,4.0
solomon_c101,Q-HGLS,3,24,555.4370882745864,528.9646974972833,1248.3566860935885,26.472390777303303,569.0957088402429,572.8904577383418,1.0,255.94781554606607,0.0,0.0,0.0,27.35,,,4.0
solomon_c101,RO-Eco,3,26,798.2894775019691,674.3344201761937,1591.429231615817,123.95505732577544,819.0885762102428,819.9637822589573,1.0,2098.601146515509,0.0,0.0,0.0,38.05,,,4.0
solomon_c101,S-HGLS,3,24,523.4054636800405,508.1008467659311,1199.1179983675972,15.304616914109468,541.5131767164208,545.6968968495917,1.0,29.927951961464515,0.05,0.3291096580181204,0.0,26.3,,,3.8
solomon_c101,LA-SHGLS,3,23,525.2539420383633,500.7859696994968,1181.8548884908123,24.467972338866552,554.3903888709838,567.8490438218204,1.0,173.49550777816802,0.1,1.096598474979075,0.0,27.2,,,3.7
solomon_c201,D-HGLS,1,11,331.5025728310347,297.65803603689204,702.4729650470653,33.84453679414267,339.2293571734193,339.34700676243705,1.0,433.3907358828534,0.0,0.0,0.0,24.35,,,3.5
solomon_c201,PTO-HGLS,1,11,331.5025728310347,297.65803603689204,702.4729650470653,33.84453679414267,339.2293571734193,339.34700676243705,1.0,433.3907358828534,0.0,0.0,0.0,24.35,,,3.5
solomon_c201,Q-HGLS,1,13,358.5963290675294,338.2464153011338,798.2615401106757,20.349913766395595,364.8847743229141,365.58044228065273,1.0,147.49827532791193,0.0,0.0,0.0,25.95,,,3.5
solomon_c201,RO-Eco,1,14,357.3125123620979,333.8835345710218,787.9651415876115,23.42897779107604,363.499703974681,364.16300639098233,1.0,244.07955582152053,0.0,0.0,0.0,22.45,,,3.5
solomon_c201,S-HGLS,1,13,327.65713876116104,313.9943547356492,741.0266771761321,13.662784025511847,335.18744823859686,336.325341421039,1.0,34.75568051023701,0.0,0.0,0.0,23.85,,,3.3
solomon_c201,LA-SHGLS,1,13,360.7959926225616,340.34717597679355,803.2193353052327,20.448816645768165,367.00324594263446,367.3277609244591,1.0,191.9763329153633,0.0,0.0,0.0,21.7,,,3.3
solomon_c201,D-HGLS,2,13,335.649361780086,322.29936178008603,760.6264938010028,13.35,342.2285771725376,342.4529622566325,0.0,0.0,0.0,0.0,0.0,26.7,,,3.4
solomon_c201,PTO-HGLS,2,13,335.649361780086,322.29936178008603,760.6264938010028,13.35,342.2285771725376,342.4529622566325,0.0,0.0,0.0,0.0,0.0,26.7,,,3.4
solomon_c201,Q-HGLS,2,13,355.2170890344151,335.20011131763334,791.072262709615,20.01697771678173,363.36095697948736,364.479037340398,1.0,143.33955433563466,0.0,0.0,0.0,25.7,,,3.4
solomon_c201,RO-Eco,2,13,364.39039697141135,337.97663572623503,797.6248603139145,26.41376124517634,371.2387321251157,371.8854521761056,1.0,289.27522490352675,0.0,0.0,0.0,23.9,,,3.5
solomon_c201,S-HGLS,2,12,320.8038031690707,290.5247760883858,685.6384715685906,30.27902708068488,326.40787492128663,326.9154142537928,1.0,360.5805416136976,0.0,0.0,0.0,24.5,,,3.2
solomon_c201,LA-SHGLS,2,14,341.335207681472,324.0733912152267,764.8132032679347,17.26181646624536,348.2365137012036,348.60834127568575,1.0,106.73632932490725,0.0,0.0,0.0,23.85,,,3.3
solomon_c201,D-HGLS,3,14,348.4934960384019,338.0191304873686,797.7251479501896,10.474365551033294,356.27554976620183,356.5995274284001,0.1,0.4873110206658794,0.0,0.0,0.0,20.9,,,3.4
solomon_c201,PTO-HGLS,3,14,348.4934960384019,338.0191304873686,797.7251479501896,10.474365551033294,356.27554976620183,356.5995274284001,0.1,0.4873110206658794,0.0,0.0,0.0,20.9,,,3.4
solomon_c201,Q-HGLS,3,11,334.0929316507134,314.7032935635167,742.6997728098994,19.389638087196584,341.42313813459646,341.48168233936724,1.0,177.29276174393164,0.0,0.0,0.0,21.05,,,3.4
solomon_c201,RO-Eco,3,13,347.92163730474374,322.7420047086945,761.6711311125189,25.179632596049338,356.1876899635208,357.6492723615441,1.0,274.59265192098667,0.0,0.0,0.0,22.9,,,3.4
solomon_c201,S-HGLS,3,14,331.7517560616092,313.0626593438077,738.8278760513858,18.68909671780155,341.3935063689005,341.5329296865858,1.0,160.28193435603106,0.0,0.0,0.0,21.35,,,3.3
solomon_c201,LA-SHGLS,3,13,319.73159392390505,306.8191769354394,724.0932575676368,12.91241698846564,327.9691416690034,329.0030565317968,1.0,35.74833976931275,0.0,0.0,0.0,22.25,,,3.2
solomon_r102,D-HGLS,1,31,581.8643445451052,491.4501794390132,1159.822423476071,90.414165106092,602.0155271769911,602.5157614799529,1.0,1447.2833021218398,0.0,0.0,0.0,36.1,,,4.3
solomon_r102,PTO-HGLS,1,31,581.8643445451052,491.4501794390132,1159.822423476071,90.414165106092,602.0155271769911,602.5157614799529,1.0,1447.2833021218398,0.0,0.0,0.0,36.1,,,4.3
solomon_r102,Q-HGLS,1,34,586.6458920718879,521.8543339975115,1231.576228234127,64.79155807437652,610.7232394259348,614.6053099426808,1.0,942.3311614875308,0.0,0.0,0.0,35.35,,,4.3
solomon_r102,RO-Eco,1,30,570.8089369243178,480.7630578434861,1134.6008165106268,90.04587908083167,594.0063302984481,594.6354320857397,1.0,1475.417581616633,0.0,0.0,0.0,32.55,,,4.3
solomon_r102,S-HGLS,1,32,551.6512886771795,500.4850152746869,1181.1446360482612,51.16627340249259,566.6612290877738,567.733262275444,1.0,724.8254680498518,0.0,0.0,0.0,29.85,,,4.1
solomon_r102,LA-SHGLS,1,34,575.8090837936251,519.1585145808165,1225.2140944107266,56.65056921280866,592.6681792144028,596.5683696637848,1.0,839.511384256173,0.0,0.0,0.0,29.35,,,4.1
