family,param,mult,method,E_cost,E_fuel,E_emission,E_recourse,CVaR_cost,P_trigger,E_returns,E_return_km,P_late,E_late_min,P_defer,n_veh
solomon_c101,C_LATE,1.0,DFR,458.79569,423.46633,999.38055,35.32936,509.34121,0.075,0.09,4.61174,1.0,428.3372,0.0,20.0
solomon_c101,C_LATE,2.0,SAA,479.53335,429.39048,1013.36153,50.14287,582.99808,0.26,0.32,19.3712,1.0,344.57869,0.0,20.0
solomon_c101,C_LATE,2.0,DFR,479.53335,429.39048,1013.36153,50.14287,582.99808,0.26,0.32,19.3712,1.0,344.57869,0.0,20.0
solomon_c101,C_RET,0.5,SAA,472.98824,425.7312,1004.72563,47.25704,569.95533,0.32,0.43,26.00786,1.0,656.74081,0.02,16.0
solomon_c101,C_RET,0.5,DFR,472.98824,425.7312,1004.72563,47.25704,569.95533,0.32,0.43,26.00786,1.0,656.74081,0.02,16.0
solomon_c101,C_RET,1.0,SAA,472.96093,408.21471,963.38673,64.74621,547.41284,0.3,0.405,23.34174,1.0,997.02429,0.0,18.0
solomon_c101,C_RET,1.0,DFR,458.79569,423.46633,999.38055,35.32936,509.34121,0.075,0.09,4.61174,1.0,428.3372,0.0,20.0
solomon_c101,C_RET,2.0,SAA,542.84852,385.47992,909.73261,157.3686,661.35959,0.39,0.63,37.61416,1.0,2835.47203,0.01,14.0
solomon_c101,C_RET,2.0,DFR,458.97569,423.46633,999.38055,35.50936,510.64121,0.075,0.09,4.61174,1.0,428.3372,0.0,20.0
solomon_c101,C_MISS,0.5,SAA,512.05646,413.02435,974.73747,99.0321,607.51517,0.34,0.445,29.37931,1.0,1677.59209,0.02,19.0
solomon_c101,C_MISS,0.5,DFR,468.49707,412.74852,974.08651,55.74854,515.4872,0.085,0.085,5.39386,1.0,849.6209,0.0,20.0
solomon_c101,C_MISS,1.0,SAA,478.02374,412.63819,973.82612,65.38555,553.13648,0.3,0.405,23.34174,1.0,1004.81097,0.0,18.0
solomon_c101,C_MISS,1.0,DFR,458.79569,423.46633,999.38055,35.32936,509.34121,0.075,0.09,4.61174,1.0,428.3372,0.0,20.0
solomon_c101,C_MISS,2.0,SAA,422.71938,394.74164,931.59028,27.97774,485.58235,0.18,0.21,13.74942,1.0,264.90482,0.0,18.0
solomon_c101,C_MISS,2.0,DFR,422.71938,394.74164,931.59028,27.97774,485.58235,0.18,0.21,13.74942,1.0,264.90482,0.0,18.0
