family,rep,step,E_cost,E_fuel,E_emission,E_recourse,CVaR_cost,P_trigger,E_returns,E_return_km,P_late,E_late_min,P_defer,n_veh,secs
solomon_c201,2,L5_dro,233.9273,216.51857,510.98383,17.40873,260.51257,0.0,0.0,0.0,1.0,96.37452,0.0,8.0,30.2
solomon_c201,2,L6_policy,304.36551,289.27351,682.68548,15.092,324.56853,0.0,0.0,0.0,1.0,67.58991,0.0,12.0,50.2
solomon_c201,2,L7_safeguard,304.36551,289.27351,682.68548,15.092,324.56853,0.0,0.0,0.0,1.0,67.58991,0.0,12.0,50.2
solomon_r102,1,L0_det,547.24836,451.9179,1066.52625,95.33046,735.78659,0.015,0.015,0.53073,1.0,935.40916,0.315,30.0,20.1
solomon_r102,1,L1_scen_blind,3410.84661,367.03595,866.20484,3043.81067,3500.65216,0.005,0.005,0.15,1.0,1011.06336,1.0,17.0,20.1
solomon_r102,1,L2_recourse,552.21869,477.59428,1127.12249,74.62441,705.29198,0.0,0.0,0.0,1.0,776.2882,0.245,32.0,20.1
solomon_r102,1,L3_dependence,525.08994,455.86376,1075.83847,69.22619,619.82794,0.005,0.005,0.20248,1.0,935.37373,0.11,31.0,20.1
solomon_r102,1,L4_conformal,534.86647,474.58692,1120.02512,60.27955,623.69584,0.005,0.005,0.17805,1.0,755.44099,0.105,31.0,30.1
solomon_r102,1,L5_dro,537.34088,465.77556,1099.23032,71.56532,612.22577,0.005,0.005,0.12042,1.0,1058.40634,0.055,30.0,30.1
solomon_r102,1,L6_policy,532.5624,458.86084,1082.91159,73.70156,641.08583,0.0,0.0,0.0,1.0,981.23116,0.13,30.0,50.1
solomon_r102,1,L7_safeguard,525.08994,455.86376,1075.83847,69.22619,619.82794,0.005,0.005,0.20248,1.0,935.37373,0.11,31.0,50.1
solomon_r102,2,L0_det,542.17397,446.87526,1054.62561,95.29871,713.16971,0.0,0.0,0.0,1.0,1033.67419,0.33,28.0,20.1
solomon_r102,2,L1_scen_blind,3138.63637,334.20515,788.72415,2804.43122,3294.88731,0.0,0.0,0.0,1.0,1286.9744,1.0,15.0,20.1
solomon_r102,2,L2_recourse,530.62315,460.04655,1085.70987,70.5766,641.28282,0.0,0.0,0.0,1.0,951.33191,0.105,31.0,20.1
solomon_r102,2,L3_dependence,512.3529,444.59999,1049.25599,67.7529,615.39028,0.0,0.0,0.0,1.0,948.00808,0.07,28.0,20.1
solomon_r102,2,L4_conformal,515.84984,456.82157,1078.0989,59.02827,584.82868,0.0,0.0,0.0,1.0,825.9654,0.045,31.0,30.1
solomon_r102,2,L5_dro,547.08448,480.24169,1133.3704,66.84279,636.62205,0.0,0.0,0.0,1.0,931.85577,0.07,34.0,30.1
solomon_r102,2,L6_policy,544.31638,489.4345,1155.06541,54.88189,623.5983,0.0,0.0,0.0,1.0,716.73771,0.045,32.0,50.1
solomon_r102,2,L7_safeguard,514.8229,454.82235,1073.38075,60.00055,612.92729,0.0,0.0,0.0,1.0,788.011,0.085,29.0,50.1
solomon_r202,1,L0_det,359.4547,331.16416,781.54743,28.29053,399.6707,0.0,0.0,0.0,1.0,241.01069,0.02,14.0,20.1
solomon_r202,1,L1_scen_blind,1320.07904,284.79135,672.10758,1035.28769,1499.01015,0.0,0.0,0.0,1.0,14585.55374,1.0,13.0,20.1
solomon_r202,1,L2_recourse,351.11138,331.61769,782.61774,19.4937,382.28282,0.0,0.0,0.0,1.0,104.2239,0.0,14.0,20.1
solomon_r202,1,L3_dependence,342.17431,320.04409,755.30405,22.13022,370.18785,0.0,0.0,0.0,1.0,152.70444,0.0,14.0,20.1
solomon_r202,1,L4_conformal,342.17431,320.04409,755.30405,22.13022,370.18785,0.0,0.0,0.0,1.0,152.70444,0.0,14.0,30.1
solomon_r202,1,L5_dro,343.02439,321.50982,758.76318,21.51457,372.79829,0.0,0.0,0.0,1.0,142.19142,0.0,15.0,30.1
solomon_r202,1,L6_policy,343.02439,321.50982,758.76318,21.51457,372.79829,0.0,0.0,0.0,1.0,142.19142,0.0,15.0,50.1
solomon_r202,1,L7_safeguard,342.17431,320.04409,755.30405,22.13022,370.18785,0.0,0.0,0.0,1.0,152.70444,0.0,14.0,50.1
solomon_r202,2,L0_det,326.76889,295.40998,697.16756,31.35891,373.9048,0.0,0.0,0.0,1.0,327.97817,0.03,14.0,20.1
