family,rep,method,kind,mag,E_cost,E_fuel,E_emission,E_recourse,CVaR_cost,P_trigger,E_returns,E_return_km,P_late,E_late_min,P_defer,n_veh
peshawar_real,1,DET,demand_var,0.25,249.27707,116.64207,275.27528,132.635,583.98634,0.34,0.53,5.88641,0.0,0.0,0.705,24.0
peshawar_real,1,DET,demand_var,0.5,255.50637,116.83137,275.72204,138.675,599.84151,0.38,0.675,7.23035,0.0,0.0,0.72,24.0
peshawar_real,1,DET,congestion,0.1,397.65929,115.74429,273.15653,281.915,751.88218,0.265,0.42,4.7923,0.0,0.0,1.0,24.0
peshawar_real,1,DET,congestion,0.2,578.53109,114.86609,271.08398,463.665,876.25618,0.265,0.42,4.7923,0.0,0.0,1.0,24.0
peshawar_real,1,DET,feas_drop,0.2,244.88211,116.46711,274.86238,128.415,573.43275,0.265,0.42,4.7923,0.0,0.0,0.675,24.0
peshawar_real,1,SAA,demand_mean,0.1,111.29215,94.33965,222.64157,16.9525,186.74316,0.285,0.45,4.2058,0.0,0.0,0.12,27.0
peshawar_real,1,SAA,demand_mean,0.2,125.83264,97.84014,230.90273,27.9925,243.42971,0.455,0.97,9.61282,0.0,0.0,0.235,27.0
peshawar_real,1,SAA,demand_mean,0.3,147.92998,102.09748,240.95005,45.8325,285.08419,0.68,1.89,18.74213,0.0,0.0,0.42,27.0
peshawar_real,1,SAA,demand_var,0.25,105.79901,91.60651,216.19137,14.1925,169.75805,0.215,0.32,2.87748,0.0,0.0,0.085,27.0
peshawar_real,1,SAA,demand_var,0.5,107.67726,91.79476,216.63562,15.8825,183.51504,0.255,0.415,3.86973,0.0,0.0,0.095,27.0
peshawar_real,1,SAA,congestion,0.1,107.1504,91.3979,215.69904,15.7525,178.83341,0.175,0.225,1.83921,0.0,0.0,0.115,27.0
peshawar_real,1,SAA,congestion,0.2,110.89131,91.38881,215.67759,19.5025,192.08105,0.175,0.225,1.83921,0.0,0.0,0.17,27.0
peshawar_real,1,SAA,feas_drop,0.2,103.66924,91.41674,215.74351,12.2525,154.42181,0.175,0.225,1.83921,0.0,0.0,0.06,27.0
peshawar_real,1,Q90C,demand_mean,0.1,104.27606,93.71856,221.17579,10.5575,145.5232,0.175,0.25,3.01176,0.0,0.0,0.05,28.0
peshawar_real,1,Q90C,demand_mean,0.2,110.6338,96.7463,228.32126,13.8875,171.43547,0.315,0.54,6.00962,0.0,0.0,0.095,28.0
peshawar_real,1,Q90C,demand_mean,0.3,119.71266,100.09516,236.22458,19.6175,193.9213,0.485,1.03,10.74603,0.0,0.0,0.18,28.0
peshawar_real,1,Q90C,demand_var,0.25,100.46913,91.07163,214.92905,9.3975,134.64748,0.14,0.17,1.94911,0.0,0.0,0.03,28.0
peshawar_real,1,Q90C,demand_var,0.5,101.80467,91.25717,215.36693,10.5475,143.72174,0.17,0.245,2.91916,0.0,0.0,0.05,28.0
peshawar_real,1,Q90C,congestion,0.1,100.29311,90.97561,214.70243,9.3175,134.12851,0.105,0.13,1.49052,0.0,0.0,0.03,28.0
peshawar_real,1,Q90C,congestion,0.2,102.03792,90.97042,214.69019,11.0675,149.20444,0.105,0.13,1.49052,0.0,0.0,0.065,28.0
peshawar_real,1,Q90C,feas_drop,0.2,100.04781,90.98031,214.71353,9.0675,132.15082,0.105,0.13,1.49052,0.0,0.0,0.025,28.0
peshawar_real,1,RO,demand_mean,0.1,113.47674,104.13424,245.75681,9.3425,146.68066,0.07,0.085,0.95958,0.0,0.0,0.02,33.0
peshawar_real,1,RO,demand_mean,0.2,117.19318,106.71068,251.8372,10.4825,157.17227,0.13,0.155,1.60538,0.0,0.0,0.04,33.0
peshawar_real,1,RO,demand_mean,0.3,124.01061,109.59811,258.65154,14.4125,184.40789,0.275,0.37,3.7907,0.0,0.0,0.095,33.0
peshawar_real,1,RO,demand_var,0.25,110.64952,101.61702,239.81616,9.0325,140.80323,0.05,0.055,0.61733,0.0,0.0,0.015,33.0
peshawar_real,1,RO,demand_var,0.5,111.04256,101.69006,239.98854,9.3525,144.48578,0.075,0.09,0.98218,0.0,0.0,0.02,33.0
peshawar_real,1,RO,congestion,0.1,110.79517,101.56267,239.68791,9.2325,143.91357,0.025,0.03,0.351,0.0,0.0,0.02,33.0
peshawar_real,1,RO,congestion,0.2,111.29409,101.56159,239.68535,9.7325,148.68438,0.025,0.03,0.351,0.0,0.0,0.03,33.0
peshawar_real,1,RO,feas_drop,0.2,110.04684,101.56434,239.69183,8.4825,136.43017,0.025,0.03,0.351,0.0,0.0,0.005,33.0
peshawar_real,1,DFR,demand_mean,0.1,111.29215,94.33965,222.64157,16.9525,186.74316,0.285,0.45,4.2058,0.0,0.0,0.12,27.0
peshawar_real,1,DFR,demand_mean,0.2,125.83264,97.84014,230.90273,27.9925,243.42971,0.455,0.97,9.61282,0.0,0.0,0.235,27.0
peshawar_real,1,DFR,demand_mean,0.3,147.92998,102.09748,240.95005,45.8325,285.08419,0.68,1.89,18.74213,0.0,0.0,0.42,27.0
peshawar_real,1,DFR,demand_var,0.25,105.79901,91.60651,216.19137,14.1925,169.75805,0.215,0.32,2.87748,0.0,0.0,0.085,27.0
peshawar_real,1,DFR,demand_var,0.5,107.67726,91.79476,216.63562,15.8825,183.51504,0.255,0.415,3.86973,0.0,0.0,0.095,27.0
peshawar_real,1,DFR,congestion,0.1,107.1504,91.3979,215.69904,15.7525,178.83341,0.175,0.225,1.83921,0.0,0.0,0.115,27.0
peshawar_real,1,DFR,congestion,0.2,110.89131,91.38881,215.67759,19.5025,192.08105,0.175,0.225,1.83921,0.0,0.0,0.17,27.0
peshawar_real,1,DFR,feas_drop,0.2,103.66924,91.41674,215.74351,12.2525,154.42181,0.175,0.225,1.83921,0.0,0.0,0.06,27.0
peshawar_real,2,DET,demand_mean,0.1,301.61924,116.48174,274.89691,185.1375,630.07603,0.62,1.28,13.24209,0.0,0.0,0.85,23.0
peshawar_real,2,DET,demand_mean,0.2,354.69308,121.58558,286.94197,233.1075,686.03869,0.84,2.39,23.87767,0.0,0.0,0.92,23.0
peshawar_real,2,DET,demand_mean,0.3,423.71904,127.26154,300.33722,296.4575,788.05936,0.945,3.815,38.35052,0.0,0.0,0.99,23.0
peshawar_real,2,DET,demand_var,0.25,273.75677,112.19927,264.79028,161.5575,609.35468,0.41,0.74,7.66704,0.0,0.0,0.77,23.0
peshawar_real,2,DET,demand_var,0.5,280.52366,112.44616,265.37294,168.0775,615.25628,0.44,0.875,9.22921,0.0,0.0,0.78,23.0
peshawar_real,2,DET,congestion,0.1,370.31885,111.52135,263.19039,258.7975,780.89679,0.375,0.61,6.25094,0.0,0.0,0.895,23.0
peshawar_real,2,DET,congestion,0.2,539.77279,110.72529,261.31169,429.0475,911.46156,0.375,0.61,6.25094,0.0,0.0,1.0,23.0
peshawar_real,2,DET,feas_drop,0.2,267.77031,111.97281,264.25583,155.7975,603.94135,0.375,0.61,6.25094,0.0,0.0,0.75,23.0
